,over 300us,over 1ms,over 1.5ms
0,0.078333,0.032446,0.031114
5,0.102067,0.036801,0.03565
10,0.098308,0.026634,0.02533
15,0.082439,0.026634,0.025191
20,0.089583,0.031183,0.030379
25,0.105508,0.030448,0.028908
30,0.109364,0.039243,0.039021
35,0.135845,0.043709,0.043488
40,0.163893,0.045624,0.045013
45,0.194244,0.05009,0.049993
50,0.214192,0.053905,0.053794
55,0.342449,0.070898,0.069178
60,0.40759,0.090249,0.088917
65,0.508464,0.126315,0.125067
70,0.717968,0.195673,0.18477
75,0.753618,0.200015,0.198434
80,0.676436,0.182093,0.181566
85,0.744587,0.200903,0.200362
90,0.842382,0.237538,0.236955
95,0.980433,0.279458,0.278764
100,1.111395,0.326039,0.325359
105,1.359475,0.402333,0.401056
110,1.35308,0.387421,0.386325
115,1.473486,0.426955,0.425817
120,1.144076,0.311099,0.310003
125,1.2208,0.363825,0.362951
130,1.394848,0.422627,0.42142
135,1.504198,0.455086,0.453741
140,1.928766,0.496785,0.490834
145,2.14035,0.668585,0.663688
150,2.002078,0.643546,0.64166
155,2.334234,0.751371,0.748666
160,2.429976,0.775729,0.773634
165,2.730782,0.903084,0.900504
170,3.803697,1.089408,1.082417
175,3.676522,1.114377,1.107164
180,3.833036,1.196178,1.186759
185,3.856867,1.317153,1.310369
190,4.634829,1.543316,1.532829
195,4.227656,1.501645,1.4955
200,4.442042,1.607014,1.600383
205,4.868941,1.792561,1.784058
210,4.615631,1.710788,1.702645
215,5.675604,2.093839,2.078941
220,5.030864,1.836576,1.82663
225,6.454343,2.546553,2.523263
230,5.860166,2.337314,2.323567
235,7.100123,2.762618,2.736414
240,6.846757,2.883301,2.863714
245,7.556166,3.231284,3.202209
250,7.465571,3.299533,3.273302
255,7.642101,3.506955,3.476549
260,8.303764,3.831246,3.795832
265,8.880282,4.180395,4.137698
270,9.128293,4.367315,4.31814
275,8.665203,4.233343,4.186443
280,9.301619,4.501967,4.454152
285,9.557828,4.727506,4.671409
290,9.850103,4.931876,4.867748
295,10.252713,5.224887,5.159482
300,10.575437,5.501778,5.424236
305,10.82944,5.721408,5.631395
310,10.720589,5.618092,5.535264
315,12.627272,7.368192,7.201219
320,13.177254,7.954615,7.751687
325,13.226596,8.021393,7.814345
330,12.679499,7.473644,7.293008
335,12.483604,7.335899,7.171825
340,12.797588,7.615232,7.438785
345,14.604825,9.473156,9.106251
350,15.595814,10.803569,10.314997
355,14.885143,9.852767,9.453749
360,15.105355,10.025829,9.678941
365,14.856179,9.775696,9.424438
370,15.021002,9.915369,9.543929
375,16.347629,11.736492,11.061457
380,16.145436,11.368908,10.85839
385,16.06308,11.463984,10.973372
390,16.10432,11.524367,11.053925
395,16.258919,11.727753,11.126279
400,16.356437,11.853374,11.231093
405,16.514574,11.92878,11.277563
410,16.936493,12.652199,11.994851
415,16.776068,12.444292,11.722717
420,16.753568,12.431141,11.710205
425,16.98539,12.600056,11.843359
430,16.347143,11.944095,11.32087
435,16.415932,12.138672,11.366327
440,16.661779,12.347038,11.559892
445,17.173018,13.028093,12.025479
450,17.588487,13.656699,12.823361
455,17.786629,13.843356,12.935236
460,17.799169,13.867021,12.843947
465,18.329648,14.611553,13.543008
470,18.349984,14.579579,13.473469
475,18.583027,14.894215,13.653703
480,19.562322,16.021118,14.161238
485,20.142434,16.580616,14.487651
490,20.418396,16.891174,14.711748
495,21.634896,18.553841,16.089824
500,22.485712,19.199357,16.094638
