,Data written,
0,1012,1.012
1,1021,1.021
2,1029,1.029
3,1038,1.038
4,1245,1.245
5,1254,1.254
6,1262,1.262
7,1470,1.47
8,1478,1.478
9,1487,1.487
10,1495,1.495
11,1703,1.703
12,1711,1.711
13,1720,1.72
14,1728,1.728
15,1936,1.936
16,1952,1.952
17,1960,1.96
18,2168,2.168
19,2176,2.176
20,2184,2.184
21,2192,2.192
22,2400,2.4
23,2408,2.408
24,2417,2.417
25,2425,2.425
26,2633,2.633
27,2641,2.641
28,2650,2.65
29,2658,2.658
30,2866,2.866
31,2874,2.874
32,2882,2.882
33,2890,2.89
34,3098,3.098
35,3106,3.106
36,3115,3.115
37,3123,3.123
38,3331,3.331
39,3348,3.348
40,3356,3.356
41,3564,3.564
42,3573,3.573
43,3581,3.581
44,3786,3.786
45,3797,3.797
46,3798,3.798
47,3806,3.806
48,3815,3.815
49,4023,4.023
50,4031,4.031
51,4040,4.04
52,4048,4.048
53,4256,4.256
54,4264,4.264
55,4273,4.273
56,4281,4.281
57,4489,4.489
58,4498,4.498
59,4506,4.506
60,4515,4.515
61,4723,4.723
62,4731,4.731
63,4740,4.74
64,4956,4.956
65,4965,4.965
66,4973,4.973
67,5180,5.18
68,5190,5.19
69,5199,5.199
70,5207,5.207
71,5415,5.415
72,5420,5.42
73,5426,5.426
74,5430,5.43
75,5439,5.439
76,5647,5.647
77,5654,5.654
78,5662,5.662
79,5671,5.671
80,5878,5.878
81,5887,5.887
82,5895,5.895
83,5903,5.903
84,6111,6.111
85,6119,6.119
86,6128,6.128
87,6136,6.136
88,6344,6.344
89,6352,6.352
90,6369,6.369
91,6577,6.577
92,6585,6.585
93,6594,6.594
94,6602,6.602
95,6810,6.81
96,6818,6.818
97,6826,6.826
98,7031,7.031
99,7043,7.043
100,7051,7.051
101,7059,7.059
102,7264,7.264
103,7275,7.275
104,7284,7.284
105,7292,7.292
106,7498,7.498
107,7508,7.508
108,7516,7.516
109,7525,7.525
110,7731,7.731
111,7741,7.741
112,7750,7.75
113,7965,7.965
114,7974,7.974
115,7983,7.983
116,7991,7.991
117,8199,8.199
118,8207,8.207
119,8215,8.215
120,8224,8.224
121,8431,8.431
122,8440,8.44
123,8448,8.448
124,8457,8.457
125,8664,8.664
126,8673,8.673
127,8681,8.681
128,8885,8.885
129,8897,8.897
130,8906,8.906
131,8914,8.914
132,9127,9.127
133,9136,9.136
134,9144,9.144
135,9159,9.159
136,9360,9.36
137,9369,9.369
138,9377,9.377
139,9581,9.581
140,9593,9.593
141,9602,9.602
142,9610,9.61
143,9814,9.814
144,9826,9.826
145,9835,9.835
146,9843,9.843
147,10047,10.047
148,10059,10.059
149,10067,10.067
150,10076,10.076
151,10292,10.292
152,10300,10.3
153,10309,10.309
154,10514,10.514
155,10524,10.524
156,10533,10.533
157,10542,10.542
158,10749,10.749
159,10758,10.758
160,10767,10.767
161,10775,10.775
162,10983,10.983
163,10991,10.991
164,11000,11
165,11204,11.204
166,11216,11.216
167,11225,11.225
168,11233,11.233
169,11436,11.436
170,11447,11.447
171,11454,11.454
172,11462,11.462
173,11470,11.47
174,11677,11.677
175,11686,11.686
176,11694,11.694
177,11908,11.908
178,11918,11.918
179,11924,11.924
180,11931,11.931
181,12134,12.134
182,12145,12.145
183,12154,12.154
184,12162,12.162
185,12366,12.366
186,12378,12.378
187,12386,12.386
188,12394,12.394
189,12598,12.598
190,12608,12.608
191,12616,12.616
