,,,Data written,
0,977,990,1967,1.967
1,977,990,1967,1.967
2,977,991,1968,1.968
3,977,991,1968,1.968
4,980,994,1974,1.974
5,1169,1183,2352,2.352
6,1170,1184,2354,2.354
7,1172,1187,2359,2.359
8,1172,1187,2359,2.359
9,1363,1259,2622,2.622
10,1363,1379,2742,2.742
11,1363,1379,2742,2.742
12,1434,1451,2885,2.885
13,1434,1452,2886,2.886
14,1438,1455,2893,2.893
15,1438,1455,2893,2.893
16,1454,1472,2926,2.926
17,1468,1486,2954,2.954
18,1479,1497,2976,2.976
19,1511,1529,3040,3.04
20,1524,1543,3067,3.067
21,1579,1599,3178,3.178
22,1584,1604,3188,3.188
23,1619,1639,3258,3.258
24,1665,1686,3351,3.351
25,1693,1714,3407,3.407
26,1703,1724,3427,3.427
27,1716,1737,3453,3.453
28,1724,1745,3469,3.469
29,1743,1765,3508,3.508
30,1755,1777,3532,3.532
31,1769,1791,3560,3.56
32,1777,1799,3576,3.576
33,1821,1844,3665,3.665
34,1855,1878,3733,3.733
35,1864,1888,3752,3.752
36,1866,1890,3756,3.756
37,1890,1914,3804,3.804
38,1910,1935,3845,3.845
39,1947,1972,3919,3.919
40,1955,1980,3935,3.935
41,1987,2012,3999,3.999
42,1998,2023,4021,4.021
43,2021,2047,4068,4.068
44,2056,2083,4139,4.139
45,2074,2101,4175,4.175
46,2082,2109,4191,4.191
47,2113,2140,4253,4.253
48,2121,2148,4269,4.269
49,2149,2176,4325,4.325
50,2164,2192,4356,4.356
51,2181,2209,4390,4.39
52,2191,2220,4411,4.411
53,2220,2249,4469,4.469
54,2224,2253,4477,4.477
55,2264,2294,4558,4.558
56,2294,2324,4618,4.618
57,2333,2363,4696,4.696
58,2352,2383,4735,4.735
59,2376,2408,4784,4.784
60,2396,2428,4824,4.824
61,2410,2441,4851,4.851
62,2426,2458,4884,4.884
63,2449,2481,4930,4.93
64,2462,2495,4957,4.957
65,2483,2516,4999,4.999
66,2496,2529,5025,5.025
67,2541,2575,5116,5.116
68,2570,2604,5174,5.174
69,2614,2649,5263,5.263
70,2626,2661,5287,5.287
71,2651,2687,5338,5.338
72,2679,2715,5394,5.394
73,2699,2735,5434,5.434
74,2735,2772,5507,5.507
75,2760,2797,5557,5.557
76,2777,2814,5591,5.591
77,2781,2819,5600,5.6
78,2790,2828,5618,5.618
79,2830,2868,5698,5.698
80,2848,2887,5735,5.735
81,2855,2894,5749,5.749
82,2879,2918,5797,5.797
83,2932,2972,5904,5.904
84,2945,2985,5930,5.93
85,2953,2993,5946,5.946
86,2980,3021,6001,6.001
87,2994,3035,6029,6.029
88,3011,3053,6064,6.064
89,3070,3112,6182,6.182
90,3088,3130,6218,6.218
91,3125,3198,6323,6.323
92,3170,3214,6384,6.384
93,3186,3230,6416,6.416
94,3195,3239,6434,6.434
95,3217,3261,6478,6.478
96,3239,3284,6523,6.523
97,3262,3308,6570,6.57
98,3289,3335,6624,6.624
99,3306,3352,6658,6.658
100,3324,3371,6695,6.695
101,3329,3375,6704,6.704
102,3346,3393,6739,6.739
103,3354,3401,6755,6.755
104,3383,3431,6814,6.814
105,3400,3447,6847,6.847
106,3429,3477,6906,6.906
107,3451,3500,6951,6.951
108,3485,3534,7019,7.019
109,3496,3545,7041,7.041
110,3508,3557,7065,7.065
111,3531,3581,7112,7.112
112,3562,3612,7174,7.174
113,3585,3635,7220,7.22
114,3588,3639,7227,7.227
115,3621,3672,7293,7.293
116,3636,3688,7324,7.324
117,3677,3704,7381,7.381
118,3720,3773,7493,7.493
119,3748,3801,7549,7.549
120,3754,3808,7562,7.562
121,3794,3848,7642,7.642
122,3806,3861,7667,7.667
123,3815,3870,7685,7.685
124,3848,3903,7751,7.751
125,3855,3910,7765,7.765
126,3886,3942,7828,7.828
127,3896,3952,7848,7.848
128,3904,3961,7865,7.865
129,3927,3984,7911,7.911
130,3965,4023,7988,7.988
131,3979,4037,8016,8.016
132,3987,4045,8032,8.032
133,4023,4082,8105,8.105
134,4061,4120,8181,8.181
135,4073,4133,8206,8.206
136,4094,4154,8248,8.248
137,4120,4181,8301,8.301
138,4140,4201,8341,8.341
139,4154,4215,8369,8.369
140,4167,4229,8396,8.396
141,4216,4278,8494,8.494
142,4231,4293,8524,8.524
143,4261,4324,8585,8.585
144,4297,4361,8658,8.658
145,4321,4385,8706,8.706
146,4337,4401,8738,8.738
147,4347,4412,8759,8.759
148,4370,4436,8806,8.806
149,4391,4457,8848,8.848
150,4412,4478,8890,8.89
151,4443,4510,8953,8.953
152,4468,4535,9003,9.003
153,4495,4563,9058,9.058
154,4504,4571,9075,9.075
155,4526,4594,9120,9.12
156,4547,4616,9163,9.163
157,4576,4645,9221,9.221
158,4590,4660,9250,9.25
159,4618,4688,9306,9.306
160,4669,4739,9408,9.408
161,4679,4750,9429,9.429
162,4684,4756,9440,9.44
163,4695,4766,9461,9.461
164,4717,4788,9505,9.505
165,4739,4811,9550,9.55
166,4751,4824,9575,9.575
167,4786,4859,9645,9.645
168,4791,4865,9656,9.656
169,4835,4910,9745,9.745
170,4856,4931,9787,9.787
171,4895,4970,9865,9.865
172,4903,4978,9881,9.881
173,4913,4988,9901,9.901
174,4920,4996,9916,9.916
175,4955,5032,9987,9.987
176,4981,5058,10039,10.039
177,5019,5097,10116,10.116
178,5036,5115,10151,10.151
179,5100,5179,10279,10.279
180,5103,5183,10286,10.286
181,5115,5195,10310,10.31
182,5138,5218,10356,10.356
183,5157,5238,10395,10.395
